iter	RMSE
642	47.36606626
643	47.36437222
644	47.34309018
645	47.31663629
646	47.31627217
647	47.29981738
648	47.29942907
649	47.27509322
650	47.26186887
651	47.24591806
652	47.22619997
653	47.21440631
654	47.17970348
655	47.15869849
656	47.13344016
657	47.10042518
658	47.0632904
659	47.05123054
660	47.01129479
661	46.99197987
662	46.98197417
663	46.96763128
664	46.94344637
665	46.92514601
666	46.9075085
667	46.88413068
668	46.86807552
669	46.84944881
670	46.83883976
671	46.82106218
672	46.81264575
673	46.78835311
674	46.76612791
675	46.73983618
676	46.71609039
677	46.71370769
678	46.69049571
679	46.67126248
680	46.67078947
681	46.64692709
682	46.62572587
683	46.60781884
684	46.5792754
685	46.56315551
686	46.53754679
687	46.52305494
688	46.50291116
689	46.48640266
690	46.47723313
691	46.45114117
692	46.43363901
693	46.41278433
694	46.39040362
695	46.37193006
696	46.3513147
697	46.33772197
698	46.32246729
699	46.30995627
700	46.27183322
701	46.2572549
702	46.23027362
703	46.21536023
704	46.20201008
705	46.19439433
706	46.17687238
707	46.15996468
708	46.15500653
709	46.14299535
710	46.11982407
711	46.10881615
712	46.09810656
713	46.06863263
714	46.05708747
715	46.03970559
716	46.02849212
717	46.01619268
718	45.98908089
719	45.97554636
720	45.94863042
721	45.92751626
722	45.91780843
723	45.90966793
724	45.89207468
725	45.86601723
726	45.84703306
727	45.82766993
728	45.81158152
729	45.78969727
730	45.77174578
731	45.75258566
732	45.73527001
733	45.72198135
734	45.7015786
735	45.68563589
736	45.66261675
737	45.64631181
738	45.63635229
739	45.61272458
740	45.59855952
741	45.58765338
742	45.5783625
743	45.56297812
744	45.54808826
745	45.53533163
746	45.51793429
747	45.49144591
748	45.47794587
749	45.4567614
750	45.43181872
751	45.40722992
752	45.39037633
753	45.39011606
754	45.37570904
755	45.35973543
756	45.34704692
757	45.33148078
758	45.32360539
759	45.29277881
760	45.27213799
761	45.25207075
762	45.23451022
763	45.21525015
764	45.18636478
765	45.16789848
766	45.15393719
767	45.14207925
768	45.12631913
769	45.11705336
770	45.09645925
771	45.08526382
772	45.06876608
773	45.0591158
774	45.04544546
775	45.01685684
776	44.99793919
777	44.97301246
778	44.96037328
779	44.94826667
780	44.93566645
781	44.92463297
782	44.91346306
783	44.89542529
784	44.87971319
785	44.87012631
786	44.85301301
787	44.84101567
788	44.82939453
789	44.81261726
790	44.7996784
791	44.78923199
792	44.77004262
793	44.76336114
794	44.75332548
795	44.73957712
796	44.72343189
797	44.69288964
798	44.67547526
799	44.66650743
800	44.65309269
801	44.63807683
802	44.62688462
803	44.61571998
804	44.6000474
805	44.59834854
806	44.58568001
807	44.5622752
808	44.5531126
809	44.52537392
810	44.51039031
811	44.50878198
812	44.49128798
813	44.47803468
814	44.46435002
815	44.44942841
816	44.41965238
817	44.40555349
818	44.39060748
819	44.36909961
820	44.35533235
821	44.34505973
822	44.33792538
823	44.3265771
824	44.30377072
825	44.26701819
826	44.25580388
827	44.23832319
828	44.2290174
829	44.21793662
830	44.20308477
831	44.18547171
832	44.14267139
833	44.12516953
834	44.10642277
835	44.09678522
836	44.07755484
837	44.0685052
838	44.04390844
839	44.03006522
840	44.0096309
841	43.9901958
842	43.97364882
843	43.96440252
844	43.94216396
845	43.92240788
846	43.91082674
847	43.89256904
848	43.85580004
849	43.84036209
850	43.82887209
851	43.80723611
852	43.78743963
853	43.76622428
854	43.74384316
855	43.73062211
856	43.70371067
857	43.69374947
858	43.6836284
859	43.67498452
860	43.65854267
861	43.63643357
862	43.62324142
863	43.61399244
864	43.59194216
865	43.5703786
866	43.5499088
867	43.5347025
868	43.51956525
869	43.50698844
870	43.49661209
871	43.47903839
872	43.47148795
873	43.45393589
874	43.43892873
875	43.42094463
876	43.39123413
877	43.37131706
878	43.35084744
879	43.33997398
880	43.32623333
881	43.3110131
882	43.29561466
883	43.28654966
884	43.26295301
885	43.24090416
886	43.22514362
887	43.21274081
888	43.19817377
889	43.1870619
890	43.18568649
891	43.17319418
892	43.16139641
893	43.15055157
894	43.1318503
895	43.12553935
896	43.11247394
897	43.10060457
898	43.09257352
899	43.08757216
900	43.07665934
901	43.05133638
902	43.03868979
903	43.02563635
904	43.01608038
905	42.99912295
906	42.98716649
907	42.97403644
908	42.957412
909	42.94204452
910	42.93102977
911	42.91996226
912	42.90725292
913	42.89755623
914	42.89435471
915	42.87565963
916	42.86710862
917	42.85802106
918	42.84599884
919	42.83583928
920	42.82246659
921	42.81524049
922	42.78619473
923	42.77730517
924	42.76514261
925	42.73547643
926	42.72520826
927	42.71650446
928	42.6995293
929	42.68569076
930	42.67400775
931	42.66757013
932	42.65330784
933	42.64649655
934	42.63510473
935	42.62331671
936	42.61191715
937	42.59543794
938	42.58071699
939	42.56907301
940	42.55814084
941	42.54440916
942	42.5340873
943	42.51792143
944	42.50716614
945	42.48596924
946	42.47624551
947	42.46551131
948	42.4480977
949	42.44433662
950	42.42844471
951	42.41560311
952	42.39485711
953	42.37882107
954	42.36518019
955	42.35707831
956	42.34317658
957	42.32989439
958	42.31911883
959	42.2983989
960	42.29182855
961	42.27709072
962	42.26505334
963	42.25571368
964	42.24735525
965	42.23413759
966	42.21735905
967	42.19715639
968	42.1880975
969	42.1831641
970	42.174232
971	42.1604521
972	42.1468244
973	42.13211003
974	42.12298575
975	42.11443548
976	42.09089754
977	42.07875878
978	42.06293599
979	42.05428126
980	42.03119261
981	42.02089002
982	41.99990324
983	41.99215836
984	41.98511792
985	41.97460815
986	41.96918626
987	41.95782079
988	41.94881334
989	41.93875584
990	41.92925371
991	41.92377875
992	41.91022244
993	41.8834254
994	41.86847644
995	41.8555095
996	41.84771044
997	41.83919467
998	41.83022156
999	41.8178591
